code,name,manufacturer,tier,group,slug
1173,"Імамекс 40 SL BP","Самміт-Агро",original,"Гербіцид",imameks-40-sl-bp-sammit-agro
1174,"Іночі, РК","Самміт-Агро",original,"Гербіцид",inochi-rk-sammit-agro
1175,"Інфанта, КС","Самміт-Агро",original,"Гербіцид",infanta-ks-sammit-agro
1176,"Казумiн 2Л","Самміт-Агро",original,"Гербіцид",kazumin-2l-sammit-agro
1177,"Казумiн 8Л","Самміт-Агро",original,"Гербіцид",kazumin-8l-sammit-agro
1178,"Кайші Макс, МГ","Самміт-Агро",original,"Гербіцид",kaishi-maks-mh-sammit-agro
1179,"Кінактив Інішіал, РК","Самміт-Агро",original,"Гербіцид",kinaktyv-inishial-rk-sammit-agro
1180,"Клевердим Гранд, КЕ","Самміт-Агро",original,"Гербіцид",kleverdym-hrand-ke-sammit-agro
1181,"Матріка, КС","Самміт-Агро",original,"Гербіцид",matrika-ks-sammit-agro
1182,"Наруто, КС","Самміт-Агро",original,"Гербіцид",naruto-ks-sammit-agro
1183,"Нурспрей (Nurspray), Р","Самміт-Агро",original,"Гербіцид",nursprei-nurspray-r-sammit-agro
1184,"Олемiкс 84, КЕ","Самміт-Агро",original,"Гербіцид",olemiks-84-ke-sammit-agro
1185,"Оттер Форте, КС","Самміт-Агро",original,"Гербіцид",otter-forte-ks-sammit-agro
1186,"Пледж 50, ЗП","Самміт-Агро",original,"Гербіцид",pledzh-50-zp-sammit-agro
1187,"Росейт, РК","Самміт-Агро",original,"Гербіцид",roseit-rk-sammit-agro
1188,"РоуБэк, КЕ","Самміт-Агро",original,"Гербіцид",roubek-ke-sammit-agro
1189,"Сакано, РК","Самміт-Агро",original,"Гербіцид",sakano-rk-sammit-agro
1190,"Самсон Супер 6 OD, МД","Самміт-Агро",original,"Гербіцид",samson-super-6-od-md-sammit-agro
1191,"Сендай, РК","Самміт-Агро",original,"Гербіцид",sendai-rk-sammit-agro
1192,"Сінтмезо, СЕ","Самміт-Агро",original,"Гербіцид",sintmezo-se-sammit-agro
1193,"Скаба, КЕ","Самміт-Агро",original,"Гербіцид",skaba-ke-sammit-agro
1194,"Тарга Супер","Самміт-Агро",original,"Гербіцид",tarha-super-sammit-agro
1195,"Тропіка, КЕ","Самміт-Агро",original,"Гербіцид",tropika-ke-sammit-agro
1196,"Хікару, ВГ","Самміт-Агро",original,"Гербіцид",khikaru-vh-sammit-agro
1197,"Акваті 800 EC","Сингента",original,"Гербіцид",akvati-800-ec-synhenta
1198,"Аксiал 050EC","Сингента",original,"Гербіцид",aksial-050ec-synhenta
1199,"Аксiал CROSS 050EC","Сингента",original,"Гербіцид",aksial-cross-050ec-synhenta
1200,"Баундари 777,5","Сингента",original,"Гербіцид",baundary-777-5-synhenta
1201,"Бороплюс","Сингента",original,"Гербіцид",boroplyus-synhenta
1202,"Брексіл МІКС ZN","Сингента",original,"Гербіцид",breksil-miks-zn-synhenta
1203,"Брексіл ZN","Сингента",original,"Гербіцид",breksil-zn-synhenta
1204,"Гезагард 500FW","Сингента",original,"Гербіцид",hezahard-500fw-synhenta
1205,"Дербi 175 SC","Сингента",original,"Гербіцид",derbi-175-sc-synhenta
1206,"Дуал Голд 960 EC","Сингента",original,"Гербіцид",dual-hold-960-ec-synhenta
1207,"Дiален супер 464SL","Сингента",original,"Гербіцид",dialen-super-464sl-synhenta
1208,"Еллюмiс 105 OD","Сингента",original,"Гербіцид",ellyumis-105-od-synhenta
1209,"Каптора 20л","Сингента",original,"Гербіцид",kaptora-20l-synhenta
1210,"Каптора PLUS","Сингента",original,"Гербіцид",kaptora-plus-synhenta
1211,"Логран 75WG","Сингента",original,"Гербіцид",lohran-75wg-synhenta
1212,"Лонтрел Гранд","Сингента",original,"Гербіцид",lontrel-hrand-synhenta
1213,"Люмакс 537,5SE","Сингента",original,"Гербіцид",lyumaks-537-5se-synhenta
1214,"Мілагро 040SC","Сингента",original,"Гербіцид",milahro-040sc-synhenta
1215,"Моддус STAR 500 DС","Сингента",original,"Гербіцид",moddus-star-500-ds-synhenta
1216,"Прiмекстра Голд 720","Сингента",original,"Гербіцид",primekstra-hold-720-synhenta
1217,"Прiмекстра TZ Голд 500SC","Сингента",original,"Гербіцид",primekstra-tz-hold-500sc-synhenta
1218,"ПIК 75WG","Сингента",original,"Гербіцид",pik-75wg-synhenta
1219,"Рейкер Екстра 60 OD","Сингента",original,"Гербіцид",reiker-ekstra-60-od-synhenta
1220,"Сeтар 375 SC","Сингента",original,"Гербіцид",setar-375-sc-synhenta
1221,"Такомір 040 SL","Сингента",original,"Гербіцид",takomir-040-sl-synhenta
1222,"Твіст 50WG","Сингента",original,"Гербіцид",tvist-50wg-synhenta
1223,"Ураган Форте","Сингента",original,"Гербіцид",urahan-forte-synhenta
1224,"Флюенс","Сингента",original,"Гербіцид",flyuens-synhenta
1225,"Фюзiлад Форте150ЕС","Сингента",original,"Гербіцид",fyuzilad-forte150es-synhenta
1226,"Аллатан 105 МД","Терра Віта",original,"Гербіцид",allatan-105-md-terra-vita
1227,"Арія 40 МД","Терра Віта",original,"Гербіцид",ariya-40-md-terra-vita
1228,"Баккард 125 к.е.","Терра Віта",original,"Гербіцид",bakkard-125-k-e-terra-vita
1229,"Брітекс 40РК","Терра Віта",original,"Гербіцид",briteks-40rk-terra-vita
1230,"Грантокс 500 в.р.","Терра Віта",original,"Гербіцид",hrantoks-500-v-r-terra-vita
1231,"Еклат750 в.г","Терра Віта",original,"Гербіцид",eklat750-v-h-terra-vita
1232,"Екстраклін 607 РК","Терра Віта",original,"Гербіцид",ekstraklin-607-rk-terra-vita
