Код,Дія,Лист,Виробник,Назва (прайс),Фасовка,Діюча речовина,Норма,Категорія slug,Категорія UA,Ціна з ПДВ,Без ПДВ,Готівка ×1.10,Валюта,Slug (наш),Назва (наша),Фасовка (наша),Tier,№ рядка
1342,existing,"PEST.UA","PEST.UA","Прагмат, КЕ","20 л","ацетохлор, 900 г/л","1,5 - 3,0",herbitsydy,"Гербіцид",5.34,4.45,4.9,USD,"prahmat-ke-pest-ua","Прагмат, КЕ","20 л",econom,22
1343,existing,"PEST.UA","PEST.UA","Просперо, КС","20 л","прометрин, 500 г/л","2,0 - 4,0",herbitsydy,"Гербіцид",4.83,4.03,4.43,USD,"prospero-ks-pest-ua","Просперо, КС","20 л",econom,24
1344,existing,"PEST.UA","PEST.UA","Пунктир, ВГ","упак. 0,5 кг","нікосульфурон, 750 г/л","0,05 - 0,07",herbitsydy,"Гербіцид",63.85,53.21,58.53,USD,"punktyr-vh-pest-ua","Пунктир, ВГ","упак. 0,5 кг",econom,25
1345,existing,"PEST.UA","PEST.UA","Спінер Екстра, РК","20 л","калійна сіль гліфосату , 540 г/л","2,5 - 6,0",herbitsydy,"Гербіцид",4.85,4.04,4.44,USD,"spiner-ekstra-rk-pest-ua","Спінер Екстра, РК","20 л",econom,27
1346,existing,"PEST.UA","PEST.UA","Спінер, РК","20 л","ізопропіламінна сіль гліфосату, 480 г/л","2,5 - 6,0",herbitsydy,"Гербіцид",3.38,2.82,3.1,USD,"spiner-rk-pest-ua","Спінер, РК","20 л",econom,26
1347,existing,"PEST.UA","PEST.UA","Стівен, КЕ","20 л","пропізохлор, 720 г/л","2,0 - 3,0",herbitsydy,"Гербіцид",4.91,4.09,4.5,USD,"stiven-ke-pest-ua","Стівен, КЕ","20 л",econom,28
1348,existing,"PEST.UA","PEST.UA","Трономіт, ВГ","флакон 0,5 кг","римсульфурон, 250 г/кг","0.05",herbitsydy,"Гербіцид",76.04,63.37,69.71,USD,"tronomit-vh-pest-ua","Трономіт, ВГ","флакон 0,5 кг",econom,31
1378,new-sku,"Нопосон","Нопосон","ГЕФЕСТ ПАУЕР","10 кг","Гліфосат, 800 г/кг(еквівалент 888 г/кг амонійної солі)","0,9-4,5кг/га",herbitsydy,"Гербіцид",8.86,7.38,8.12,USD,"","","",,6
1379,new-sku,"Нопосон","Нопосон","ГЕФЕСТ ІДЕАЛ","10 кг","Гліфосату моноамонійна сіль - 757 г/кг","1,0-4,5кг/га",herbitsydy,"Гербіцид",6.64,5.54,6.09,USD,"","","",,7
1380,new-sku,"Нопосон","Нопосон","ГРОЗА","0.5 кг","Метрибузин, 700 г/кг","0,25-1кг/га",herbitsydy,"Гербіцид",23.1,19.25,21.18,USD,"","","",,10
